ItemID,TagName,DataType,Description
1,Gabbiani!%MW1029,INT,운전모드(BIT4=Auto)
2,Gabbiani!%MW1036,INT,장비전원(BIT5=On)
3,Gabbiani!%MW1023,INT,메인 톱날 속도
4,Gabbiani!%MW1027,INT,판넬 두께
5,Gabbiani!%MW1028,INT,절단 폭
6,Gabbiani!%MW5952,INT,TE 비가동 상태
7,Gabbiani!%MW5953,INT,TL 비가동 상태
8,Gabbiani!%MW5955,INT,TT 비가동 상태
9,Gabbiani!%MW5504,INT,TL CARICO 상태(0=대기/1=전송중/2=완료)
10,Gabbiani!%MW5505,INT,TL LAVORO 상태(0=대기/1=전송중/2=완료)
11,Gabbiani!%MW5510,INT,TT CARICO 상태(0=대기/1=전송중/2=완료)
12,Gabbiani!%MW5511,INT,TT LAVORO 상태(0=대기/1=전송중/2=완료)
13,Gabbiani!%MW1352,INT,Start/Stop 명령(0x3F=Start/0x3F00=Stop)
14,Gabbiani!%MW1351,INT,Abort 명령(0x4004=Abort)
15,Gabbiani!%MW5971,INT,전기패널 상태 비트마스크
16,Gabbiani!%MW5954,INT,TP 비가동 상태
